model,model_label,class_id,class,n_seeds,n_gt,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,miss_rate_mean,miss_rate_std,false_discovery_rate_mean,false_discovery_rate_std,fppi_mean,fppi_std,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,ap50_ci95_low,ap50_ci95_high,ap50_95_ci95_low,ap50_95_ci95_high,miss_rate_ci95_low,miss_rate_ci95_high,false_discovery_rate_ci95_low,false_discovery_rate_ci95_high,fppi_ci95_low,fppi_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,0,Deformed,3,20,0.4770251534957417,0.05928411402871691,0.7166666666666667,0.10408329997330668,0.5661375661375662,0.009164289987136852,0.6759270057068013,0.059940617197571947,0.5837416982854465,0.07615722705517718,0.2833333333333333,0.10408329997330668,0.5229748465042583,0.05928411402871691,0.16333333333333336,0.055075705472861024,0.3810830872692512,0.6048800137407575,0.5499999999999999,0.85,0.45475847565133276,0.6772340225407119,0.5421162884720854,0.8237159391943619,0.45597712642773924,0.7272270744553868,0.15,0.45,0.39511998625924233,0.6189169127307488,0.10333333333333333,0.23
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,1,Displaced,3,20,0.3372332915235883,0.06795060526664674,0.6333333333333334,0.20816659994661327,0.43778264601509154,0.10807523283567341,0.5102617715270794,0.09817658472793572,0.4336376505459043,0.08085764463237546,0.3666666666666667,0.20816659994661327,0.6627667084764117,0.06795060526664674,0.24333333333333332,0.04163331998932265,0.265715682522085,0.42612757034632026,0.5333333333333333,0.7666666666666666,0.35528369342094834,0.5304961430744928,0.39746566570572084,0.6874084894164728,0.33894833715196176,0.5888285136817814,0.2333333333333333,0.46666666666666673,0.5738724296536797,0.7342843174779149,0.18000000000000002,0.3067499999999996
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,2,Fractured,3,20,0.7591841334234842,0.12003986670709918,0.7833333333333333,0.10408329997330668,0.7603081061727678,0.02756203668851705,0.8469395601610782,0.07272355094281316,0.6958123328737661,0.05184963982227086,0.21666666666666667,0.10408329997330668,0.24081586657651566,0.12003986670709918,0.056666666666666664,0.046188021535170064,0.6542514222686637,0.8640828651148569,0.6166666666666667,0.9166666666666666,0.6345029835056553,0.8560325030913266,0.7558866511358916,0.9310028684170357,0.6063526366783062,0.788858361211474,0.08333333333333333,0.3833333333333333,0.13591713488514315,0.3457485777313362,0.03,0.08333333333333333
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,Inverted,3,20,0.5039664942103966,0.03627650264413877,0.8666666666666666,0.07637626158259729,0.6348200845447984,0.010306754299233044,0.8580642642805794,0.05030318791527915,0.7113125267764365,0.03835268471698317,0.13333333333333333,0.07637626158259729,0.4960335057896034,0.03627650264413881,0.17333333333333334,0.04163331998932265,0.42317460045612454,0.611649217899218,0.7666666666666666,0.9666666666666667,0.5529273030828035,0.7261114626167284,0.7437789070918706,0.956943208608884,0.6191394238742655,0.7978330257993637,0.03333333333333336,0.23333333333333336,0.3883507821007821,0.5768253995438755,0.11666666666666665,0.2333333333333333
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,4,Missing,3,20,0.6649727084509692,0.1906163721484636,0.9833333333333334,0.028867513459481315,0.780684754521964,0.1371606159699015,0.9895305320005683,0.007140350546813578,0.7316567214568245,0.036598707098674924,0.01666666666666668,0.02886751345948132,0.33502729154903066,0.19061637214846355,0.12,0.10583005244258362,0.5897011171239656,0.7686848662037895,0.9500000000000001,1.0,0.7230535249599556,0.853554545040767,0.9779326841602565,1.0,0.6980708719111007,0.7823277706248715,0.0,0.05000000000000001,0.23131513379621035,0.41029888287603444,0.07,0.17
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,5,Normal,3,519,0.949362033633056,0.009591416305561543,0.998073217726397,1.3597399555105182e-16,0.973091883220639,0.005036272106582055,0.9875184575388535,0.0010078546365811544,0.9521010362460162,0.01022267570669711,0.0019267822736031004,0.0,0.05063796636694399,0.009591416305561543,0.27666666666666667,0.055075705472861024,0.9309520148010997,0.9671568916583212,0.9941747572815535,1.0,0.9628068297671596,0.9826147577904263,0.9846887509219439,0.9991903340830458,0.9459226321083396,0.9651492044130721,0.0,0.005825242718446644,0.032843108341678806,0.06904798519890022,0.17666666666666667,0.38666666666666666
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,0,Deformed,3,20,0.40243783993783994,0.25145334537771274,0.43333333333333335,0.10408329997330668,0.40769604715461977,0.18106255437217444,0.4240509425027396,0.194949586179946,0.38773589185042506,0.17864990430211855,0.5666666666666668,0.10408329997330668,0.59756216006216,0.25145334537771274,0.16333333333333333,0.10598742063723098,0.28873941798941793,0.5174783769715638,0.26666666666666666,0.6,0.27067681783000946,0.533096735515424,0.32416617313337853,0.5703040688423762,0.2954521890739109,0.5283831416219842,0.39999999999999997,0.7333333333333334,0.4825216230284361,0.7112605820105818,0.12,0.20666666666666667
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,1,Displaced,3,20,0.28385668276972625,0.05436665445905259,0.5,0.15000000000000002,0.3555356787914927,0.06796588227525947,0.34020786220911226,0.07815868237477938,0.31212277551178963,0.07839982671955559,0.5,0.15000000000000002,0.7161433172302738,0.05436665445905257,0.26,0.09539392014169455,0.19329780361757104,0.3750520848950476,0.3333333333333333,0.6833333333333332,0.24288230701157834,0.46692639938082303,0.23571770495609806,0.5100770442211089,0.2136768629554547,0.4752691979238952,0.31666666666666665,0.6666666666666666,0.6249479151049524,0.8067021963824289,0.19999999999999998,0.32
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,2,Fractured,3,20,0.4249624060150376,0.10320523256791198,0.45,0.04999999999999999,0.4358001528733236,0.07868204036407286,0.47003374236111944,0.13763196940699227,0.4048542325094018,0.12234299244812608,0.55,0.04999999999999999,0.5750375939849623,0.10320523256791193,0.12666666666666668,0.040414518843273815,0.3043329678362573,0.5532342851130826,0.26666666666666666,0.65,0.2836032108460528,0.5751478783002563,0.33091927362360063,0.6448496548422059,0.2828356019737719,0.5629891532911399,0.3499999999999999,0.7333333333333334,0.44676571488691746,0.6956670321637426,0.08666666666666667,0.17
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,Inverted,3,20,0.4581320450885668,0.21801217476637305,0.48333333333333334,0.23629078131263043,0.452796234772979,0.21671866182080685,0.5609029039427699,0.26098128528185655,0.5178842954928626,0.2428870450499875,0.5166666666666666,0.2362907813126304,0.5418679549114332,0.21801217476637305,0.14,0.12165525060596441,0.33473114449710173,0.5952876984126981,0.35000000000000003,0.6333333333333333,0.332732683982684,0.570034332697855,0.4748076573560593,0.7095874324684744,0.4436997544541441,0.651859272579723,0.3666666666666667,0.65,0.40471230158730165,0.6652688555028983,0.09666666666666668,0.18000000000000002
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,4,Missing,3,20,0.6929868399133766,0.12208674961930605,0.8333333333333334,0.12583057392117916,0.7535084368404196,0.11290017561222553,0.8466574169005995,0.1175232886827757,0.6141074090099349,0.10418665857384923,0.1666666666666667,0.12583057392117916,0.3070131600866234,0.12208674961930605,0.07666666666666667,0.0404145188432738,0.6118419913419912,0.800771984635462,0.7166666666666667,0.9333333333333332,0.6724979764633127,0.8341269841269842,0.7550341964730394,0.9318569135127319,0.5633202322991602,0.6789281777337614,0.06666666666666665,0.2833333333333334,0.19922801536453788,0.38815800865800865,0.04666666666666666,0.11
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,5,Normal,3,519,0.9135715548510329,0.028827112661061017,0.9890815671162492,0.01061188930112926,0.9496046663873732,0.014356120147484394,0.9845801800177879,0.0015113312015723492,0.9574886858955756,0.004556445046658706,0.010918432883750828,0.01061188930112926,0.08642844514896704,0.028827112661061017,0.49,0.18357559750685817,0.898787769827965,0.9286352765373883,0.9779458097038437,0.998046875,0.9406444190573625,0.9583382144325683,0.9799044179635436,0.9972326263762694,0.9515504715935647,0.9698611111129523,0.001953125,0.022054190296156295,0.07136472346261162,0.10121223017203486,0.39666666666666667,0.5833333333333334
fcos_r50_fpn,FCOS R50-FPN,0,Deformed,3,20,0.0966676455528448,0.09530400269134207,0.48333333333333334,0.32145502536643183,0.13545850804522352,0.10825015795723379,0.1325022522390818,0.12569837395741162,0.12841269595095614,0.12199862133453315,0.5166666666666667,0.32145502536643183,0.9033323544471553,0.09530400269134205,2.193333333333333,2.819580347025658,0.05825662066744068,0.14215459587872348,0.36666666666666664,0.6166666666666667,0.08406717590206034,0.19539423943169504,0.10330705169567557,0.19795460902520182,0.09828923026787108,0.1957485876784924,0.3833333333333333,0.6333333333333333,0.8578454041212766,0.9417433793325594,2.0700000000000003,2.31675
fcos_r50_fpn,FCOS R50-FPN,1,Displaced,3,20,0.12164364812741073,0.11454490276174856,0.5666666666666668,0.24664414311581234,0.17313552242187388,0.13492192684990784,0.16503829115831212,0.11283194706535532,0.15402838708135305,0.10561456416982212,0.43333333333333335,0.24664414311581234,0.8783563518725893,0.11454490276174856,2.22,2.8816835357131083,0.08176939155356691,0.17022448245476887,0.39999999999999997,0.7166666666666668,0.11709366608716561,0.2362951389465323,0.10439625765702541,0.28425541174813496,0.09679434399455196,0.26653189734717253,0.2833333333333333,0.6,0.8297755175452312,0.9182306084464331,2.08,2.3666666666666667
fcos_r50_fpn,FCOS R50-FPN,2,Fractured,3,20,0.1651035959911106,0.16932315710546053,0.5666666666666667,0.2753785273643051,0.2167653266543574,0.19318263897117385,0.22349373150123927,0.22555561002380883,0.20662776624310694,0.20671090591752336,0.4333333333333333,0.27537852736430507,0.8348964040088894,0.1693231571054605,2.1,3.0516225192510293,0.11217537784302245,0.22353026279956428,0.4333333333333333,0.6833333333333335,0.14653062845967138,0.28462534036024056,0.17149896943116205,0.32796174652896876,0.15670768043069652,0.3100210456309084,0.31666666666666665,0.5666666666666668,0.7764697372004357,0.8878246221569773,2.016666666666667,2.186666666666666
fcos_r50_fpn,FCOS R50-FPN,3,Inverted,3,20,0.14899299086150297,0.15421587520882227,0.5833333333333334,0.3013856886670854,0.20292818229732132,0.18165375096905662,0.24471255429384695,0.2802809196671881,0.2251391752631365,0.2536410822541379,0.4166666666666667,0.30138568866708537,0.851007009138497,0.1542158752088222,2.14,3.0018494299348193,0.09908879733444607,0.212430161648977,0.44999999999999996,0.7166666666666667,0.13344314089587267,0.27833980483752496,0.19000550839313377,0.3319599391936938,0.17623933010052056,0.3081510473840904,0.2833333333333333,0.5499999999999999,0.787569838351023,0.9009112026655539,2.036583333333333,2.25
fcos_r50_fpn,FCOS R50-FPN,4,Missing,3,20,0.307501373259192,0.30288300809943586,0.5833333333333334,0.2753785273643051,0.3663717645953027,0.3529644911620226,0.39817162500526376,0.42805776775823395,0.33683743824490003,0.3585480143898032,0.4166666666666667,0.2753785273643051,0.6924986267408081,0.30288300809943586,1.9366666666666668,3.08626527267721,0.2368403495284947,0.38069324016150424,0.4333333333333333,0.7666666666666666,0.27973516262327547,0.4502138426366747,0.3211429139565043,0.5011473819083622,0.26588735410867786,0.4363796244625437,0.23333333333333336,0.5666666666666668,0.6193067598384958,0.7631596504715052,1.8633333333333333,2.0033333333333334
fcos_r50_fpn,FCOS R50-FPN,5,Normal,3,519,0.8464091853790098,0.11592037567603049,0.9788053949903661,0.023440318035831277,0.9043726482870271,0.06612535520114196,0.9705744623300054,0.013088061054856921,0.9519413758189286,0.01338644569780278,0.02119460500963392,0.023440318035831277,0.15359081462099036,0.1159203756760305,1.01,0.9165696918401787,0.8322800957340134,0.8603579224296669,0.9634530560806555,0.9922031082895305,0.8944534408456577,0.9140288995627406,0.9625462652350247,0.9826314695047441,0.9419685484360201,0.9642849663621067,0.007796891710469466,0.036546943919344654,0.13964207757033306,0.16771990426598665,0.90325,1.1266666666666667
rtdetr_l,RT-DETR-L,0,Deformed,3,20,0.1288575943483919,0.08523006938263955,0.5,0.15000000000000002,0.19473537745395667,0.10217686090826614,0.2312691956201728,0.04539460826755477,0.21360609784565385,0.03704520200633494,0.5,0.15000000000000002,0.8711424056516082,0.08523006938263955,0.8833333333333333,0.5834666514320533,0.0797715374981555,0.18738570450907316,0.3333333333333333,0.65,0.12001159603626396,0.27066256460155225,0.17133625913159292,0.3328630870212423,0.15565447415867217,0.3128792980821273,0.35000000000000003,0.6666666666666666,0.8126142954909268,0.9202284625018443,0.68,1.1
rtdetr_l,RT-DETR-L,1,Displaced,3,20,0.24586056644880175,0.19557242261209948,0.5499999999999999,0.264575131106459,0.2745070422535211,0.11642725834961577,0.2556386027530156,0.1343016019975681,0.2337547478056848,0.1299836371735236,0.45,0.2645751311064591,0.7541394335511983,0.19557242261209948,0.71,0.8146778504415104,0.15869444387280285,0.33995052804968146,0.4000000000000001,0.6833333333333335,0.1837514068898485,0.3620490857445151,0.20787368080894358,0.3527225480775603,0.18540795557895248,0.32668368794952823,0.31666666666666665,0.6,0.6600494719503186,0.8413055561271969,0.5566666666666666,0.8633333333333333
rtdetr_l,RT-DETR-L,2,Fractured,3,20,0.17406400966183577,0.05270449794187046,0.3499999999999999,0.05000000000000002,0.22659176029962547,0.04487381801025706,0.20022308720763923,0.04148956414937553,0.17736343584718725,0.04178876755388925,0.6499999999999999,0.04999999999999999,0.8259359903381642,0.05270449794187048,0.37333333333333335,0.20502032419575708,0.08188326166587037,0.2721398666811973,0.16666666666666666,0.5333333333333333,0.10831205079813838,0.34291678875834125,0.18362336595843554,0.2855966535551866,0.16062071948319756,0.257482170772955,0.4666666666666666,0.8333333333333334,0.7278601333188027,0.9181167383341297,0.27,0.48666666666666664
rtdetr_l,RT-DETR-L,3,Inverted,3,20,0.11761452827844783,0.08392326304925384,0.6333333333333333,0.18929694486000911,0.18298417284028154,0.10275215815353454,0.18842080023147065,0.02067419190960982,0.1715497090982742,0.015700359616280735,0.3666666666666667,0.18929694486000911,0.8823854717215521,0.08392326304925382,1.5033333333333336,1.3316656236958788,0.07415089075754398,0.16362341929046342,0.45,0.8166666666666668,0.11448877175972659,0.24976913377906088,0.17379956261225585,0.2893892230719258,0.1606078232021088,0.26612537845888373,0.18333333333333332,0.5499999999999999,0.8363765807095367,0.9258491092424559,1.2465833333333332,1.7566666666666666
rtdetr_l,RT-DETR-L,4,Missing,3,20,0.2990583167940543,0.24674674778869157,0.7000000000000001,0.2645751311064591,0.3328693868581056,0.1554036057701826,0.4002175915874768,0.11806991556375818,0.3469253771412876,0.10832760479697319,0.3,0.2645751311064591,0.7009416832059457,0.24674674778869157,0.7966666666666667,0.9072118458956173,0.20257159831670105,0.3910969817219817,0.6000000000000001,0.8166666666666668,0.23653955560187637,0.41258045892166056,0.3668006355780132,0.46846120961240295,0.3089594466336893,0.4140494009872653,0.18333333333333335,0.39999999999999997,0.6089030182780183,0.7974284016832989,0.5633333333333334,1.0566666666666669
rtdetr_l,RT-DETR-L,5,Normal,3,519,0.557625075030056,0.018493563501714008,0.8670520231213873,0.16860170637636718,0.6756018789917869,0.06710676440304787,0.8201068985911846,0.12849600335452901,0.752488536943055,0.13090569388999942,0.1329479768786127,0.16860170637636718,0.442374924969944,0.018493563501714008,3.543333333333333,0.4834597535817573,0.522915677289467,0.600527765541088,0.8313730543726008,0.9020366134988763,0.6386921621823456,0.7145285960354368,0.7946030182191568,0.8513866910252577,0.7244796523251379,0.7856126418229596,0.09796338650112375,0.1686269456273992,0.3994722344589119,0.477084322710533,3.046666666666667,4.043333333333333
yolo11m,YOLO11m,0,Deformed,3,20,0.49938271604938267,0.159090493410938,0.7166666666666668,0.07637626158259735,0.5823769611003654,0.13273177286018842,0.6459583484028044,0.11608352480058538,0.6382478906112722,0.12165903084829613,0.2833333333333333,0.07637626158259735,0.5006172839506173,0.159090493410938,0.16,0.09165151389911681,0.4152373075045489,0.584640230010308,0.5333333333333333,0.8833333333333333,0.4601406678080645,0.6825458004191332,0.4608973265796089,0.8104289150363599,0.4536288381197373,0.8045443285344003,0.11666666666666665,0.4666666666666666,0.4153597699896919,0.5847626924954512,0.12666666666666668,0.19666666666666668
yolo11m,YOLO11m,1,Displaced,3,20,0.6148349436392915,0.15689340543185587,0.5666666666666667,0.07637626158259735,0.5868126388322227,0.11154991757231913,0.5228021949832389,0.13187462565136848,0.4931211158746856,0.12388545015738457,0.4333333333333333,0.07637626158259735,0.3851650563607086,0.1568934054318559,0.07666666666666666,0.046188021535170064,0.49851669103313834,0.7410148239917976,0.4166666666666667,0.7000000000000001,0.45738891010949834,0.6923238356601858,0.408685332385885,0.661940600142704,0.3873920408738949,0.6278142312963232,0.3,0.5833333333333334,0.2589851760082023,0.5014833089668616,0.043333333333333335,0.11333333333333333
yolo11m,YOLO11m,2,Fractured,3,20,0.4898989898989899,0.03154039393130505,0.6166666666666667,0.202072594216369,0.5392333033842468,0.0893701769077236,0.6538507646864924,0.08964835770916618,0.6322848557634747,0.08456596529117155,0.3833333333333333,0.202072594216369,0.51010101010101,0.03154039393130502,0.12666666666666668,0.030550504633038933,0.3855421642341147,0.62691802897395,0.48333333333333334,0.7337499999999978,0.4315422185265774,0.6502713639587032,0.5530362663136767,0.7720222701470743,0.5229080866735165,0.7597640816005851,0.26625000000000004,0.5166666666666667,0.3730819710260499,0.6144578357658852,0.08,0.17666666666666667
yolo11m,YOLO11m,3,Inverted,3,20,0.58734335839599,0.09767662005831754,0.8166666666666668,0.16072751268321595,0.671551724137931,0.040645431841814704,0.7566738319296439,0.025390480497783925,0.7223456327963579,0.035717592831686525,0.18333333333333335,0.16072751268321595,0.41265664160401005,0.09767662005831754,0.12333333333333334,0.06027713773341708,0.5047408957321747,0.6938240622335887,0.7166666666666667,0.9166666666666666,0.588527908327256,0.7577076728405325,0.6732027703833912,0.8668276056417485,0.6413857632556992,0.8363344206577816,0.08333333333333333,0.2833333333333333,0.30617593776641094,0.49525910426782516,0.08,0.16666666666666666
yolo11m,YOLO11m,4,Missing,3,20,0.7924603174603174,0.16382065530654014,1.0,0.0,0.877909804739073,0.1036266219251472,0.9925892589258926,0.012835780062091707,0.8981870639067785,0.01883116099773798,0.0,0.0,0.20753968253968255,0.16382065530654014,0.06,0.055677643628300216,0.7269689246315262,0.8727344877344877,1.0,1.0,0.8328534980055513,0.9285714285714285,0.9768243967253868,1.0,0.8661083489126227,0.9403149259833474,0.0,0.0,0.12726551226551228,0.27303107536847376,0.03333333333333333,0.09000000000000001
yolo11m,YOLO11m,5,Normal,3,519,0.9610362836723474,0.010871514264990357,0.9961464354527938,0.0019267822736031004,0.9782613740425311,0.0064991028126447125,0.9889445521382041,0.0006245698038990817,0.9790560725880869,0.003091449752211089,0.003853564547206201,0.0019267822736031004,0.038963716327652574,0.010871514264990357,0.21,0.06082762530298221,0.944011600812848,0.9766931407375705,0.9911611968834455,1.0,0.9689745899243417,0.9869131420649179,0.987697149807953,0.9995303982449546,0.9764840123724883,0.9905802185621629,0.0,0.008838803116554531,0.02330685926242937,0.05598839918715206,0.12333333333333334,0.30666666666666664
yolov10m,YOLOv10m,0,Deformed,3,20,0.3527841342486651,0.013840768353641524,0.5833333333333334,0.1607275126832159,0.4343758353381449,0.05662708425466913,0.46341596559519926,0.053456760927088925,0.45167069637528523,0.054687859362863155,0.4166666666666667,0.1607275126832159,0.6472158657513348,0.013840768353641578,0.21333333333333335,0.055075705472861024,0.2697284341368126,0.4367695152515435,0.43333333333333335,0.7333333333333334,0.3277045758329407,0.5345039391819332,0.32040460224003914,0.6426314516129694,0.309849976779548,0.6279625878331206,0.26666666666666666,0.5666666666666668,0.5632304847484566,0.7302715658631873,0.17333333333333334,0.25666666666666665
