model,model_label,n_seeds,n_folds,n_images,n_gt,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,miss_rate_mean,miss_rate_std,false_discovery_rate_mean,false_discovery_rate_std,fppi_mean,fppi_std,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,ap50_ci95_low,ap50_ci95_high,ap50_95_ci95_low,ap50_95_ci95_high,miss_rate_ci95_low,miss_rate_ci95_high,false_discovery_rate_ci95_low,false_discovery_rate_ci95_high,fppi_ci95_low,fppi_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,5,100,619,0.6152906357895395,0.06025092631275726,0.8302344251766217,0.04738533919231104,0.6921375067688045,0.04301455199046847,0.8113735985358267,0.027539964139498253,0.6847103276973989,0.020164597696785195,0.16976557482337828,0.04738533919231104,0.3847093642104607,0.060250926312757275,0.17222222222222225,0.03945226839462443,0.5745164068464799,0.6721310269241768,0.7851166192283364,0.8750612904979341,0.6493308101483848,0.7403326165821383,0.7742161915626179,0.8673883016124267,0.6519566526855387,0.7371713541785163,0.12493870950206566,0.21488338077166327,0.32786897307582324,0.42548359315352,0.13666666666666663,0.20833333333333334
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,5,100,619,0.5293245614292634,0.12585138385071268,0.6148469278527081,0.10519793195725975,0.5591568694700345,0.11033783678446699,0.6044055079890214,0.12155053143113996,0.5323655483783317,0.11303366015123996,0.3851530721472918,0.10519793195725968,0.47067543857073657,0.12585138385071257,0.20944444444444443,0.09043618580913121,0.4924682926700334,0.5736885222835105,0.5563480664423401,0.6766908482801283,0.5154307324808762,0.6006216345291542,0.5762912885063375,0.6593322621069595,0.5108425217473257,0.5833874512970508,0.3233091517198717,0.44365193355765975,0.42631147771648936,0.5075317073299667,0.1827777777777778,0.23333333333333336
fcos_r50_fpn,FCOS R50-FPN,3,5,100,619,0.2810530731951784,0.1549051869449489,0.6270231213872832,0.19107587646851995,0.33317199205018433,0.17103080505086576,0.3557488194212915,0.19285588277970758,0.3338311397670635,0.1725097659035866,0.3729768786127168,0.1910758764685199,0.7189469268048215,0.15490518694494881,1.933333333333333,2.6244634372254705,0.26285877991833134,0.3039925128987211,0.5721223396349802,0.6852148928690729,0.3111682953729074,0.35836629751460214,0.3487540736237825,0.38838145840684424,0.3269566543700065,0.36534538674876416,0.3147851071309271,0.4278776603650197,0.6960074871012788,0.7371412200816687,1.8505416666666663,2.022236111111111
rtdetr_l,RT-DETR-L,3,5,100,619,0.25384668176026454,0.10634512424812696,0.6000642260757868,0.13130805122894515,0.31454826978287953,0.07383166728735746,0.3493126959984932,0.05730423161175567,0.31594798411352376,0.05884173726721259,0.39993577392421314,0.13130805122894518,0.7461533182397354,0.1063451242481269,1.3016666666666667,0.6426010512838515,0.23026956300879636,0.2782719253729538,0.5351856458564838,0.6662473004648264,0.2845944083319692,0.34230939443049574,0.34776947839007755,0.3928301189487961,0.3140954995284068,0.35772716569997187,0.33375269953517367,0.4648143541435161,0.7217280746270461,0.7697304369912036,1.1860555555555556,1.4111111111111112
yolo11m,YOLO11m,3,5,100,619,0.6574927681860531,0.07199609792802103,0.7854688503532433,0.04761178621958615,0.706024301039395,0.058722024249934515,0.7601364918443793,0.05704807803738221,0.727207105256776,0.05573454147942345,0.21453114964675657,0.047611786219586096,0.3425072318139469,0.07199609792802097,0.12611111111111115,0.02668402213005073,0.6178770905517652,0.7053691588925841,0.7331219083593639,0.8330078283635883,0.661235338900582,0.7463919856338892,0.7268025172200304,0.8102263590133462,0.6940798371346819,0.7790262939274397,0.16699217163641164,0.2668780916406362,0.29463084110741594,0.38212290944823485,0.10444444444444445,0.14777777777777779
yolov10m,YOLOv10m,3,5,100,619,0.4939194869434027,0.04325174071065863,0.7459377007064868,0.04289192725710736,0.5821832412337737,0.05016555113594329,0.614747320585845,0.07231108173752547,0.5881485289592471,0.07071433242882283,0.25406229929351315,0.04289192725710732,0.5060805130565972,0.04325174071065864,0.2555555555555556,0.046854779589390584,0.4716524177456582,0.5238309799047209,0.6950935547368138,0.7955053525987585,0.5560115613330394,0.607840322765255,0.593430302088247,0.6685023160659346,0.5683059013593182,0.6398763764402593,0.20449464740124149,0.3049064452631863,0.47616902009527895,0.5283475822543418,0.2205555555555556,0.2905555555555555
