model,model_label,seed,class_id,class,operating_threshold,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,4,Missing,0.47,5,5,3,0,0.625,1.0,0.7692307692307693,1.0,0.8277227722772278,0.0,0.375,0.03
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,5,Normal,0.47,582,523,2,59,0.9961904761904762,0.8986254295532646,0.944896115627823,0.9941342363045422,0.9644965185174301,0.10137457044673537,0.003809523809523818,0.02
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,0,Deformed,0.41,3,3,38,0,0.07317073170731707,1.0,0.13636363636363635,0.5304455445544556,0.47740099009901,0.0,0.926829268292683,0.38
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,1,Displaced,0.41,6,6,89,0,0.06315789473684211,1.0,0.11881188118811882,0.11611161116111611,0.10909090909090909,0.0,0.9368421052631579,0.89
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,2,Fractured,0.41,2,1,0,1,1.0,0.5,0.6666666666666666,1.0,0.9,0.5,0.0,0.0
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,3,Inverted,0.41,4,3,3,1,0.5,0.75,0.6,0.8184818481848185,0.7871287128712872,0.25,0.5,0.03
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,4,Missing,0.41,5,5,4,0,0.5555555555555556,1.0,0.7142857142857143,1.0,0.8470297029702969,0.0,0.4444444444444444,0.04
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,5,Normal,0.41,582,568,8,14,0.9861111111111112,0.9759450171821306,0.9810017271157168,0.9985592644859398,0.9638725083118105,0.02405498281786944,0.01388888888888884,0.08
fcos_r50_fpn,FCOS R50-FPN,20260908,0,Deformed,0.29,3,3,595,0,0.005016722408026756,1.0,0.009983361064891847,0.005119453924914675,0.004607508532423208,0.0,0.9949832775919732,5.95
fcos_r50_fpn,FCOS R50-FPN,20260908,1,Displaced,0.29,6,6,591,0,0.010050251256281407,1.0,0.01990049751243781,0.01997568177870419,0.01779043471721429,0.0,0.9899497487437185,5.91
fcos_r50_fpn,FCOS R50-FPN,20260908,2,Fractured,0.29,2,2,597,0,0.00333889816360601,1.0,0.0066555740432612314,0.00348432055749129,0.0032238589712629807,0.0,0.996661101836394,5.97
fcos_r50_fpn,FCOS R50-FPN,20260908,3,Inverted,0.29,4,4,594,0,0.006688963210702341,1.0,0.013289036544850499,0.007128172202885817,0.0066013404319709024,0.0,0.9933110367892977,5.94
fcos_r50_fpn,FCOS R50-FPN,20260908,4,Missing,0.29,5,5,594,0,0.008347245409015025,1.0,0.016556291390728478,0.008375209380234505,0.007686112791044475,0.0,0.991652754590985,5.94
fcos_r50_fpn,FCOS R50-FPN,20260908,5,Normal,0.29,582,582,98,0,0.8558823529411764,1.0,0.9223454833597463,0.9943450443029445,0.9568911874907686,0.0,0.14411764705882357,0.98
fcos_r50_fpn,FCOS R50-FPN,20260909,0,Deformed,0.52,3,0,5,3,0.0,0.0,0.0,0.05920342034203421,0.05657515751575158,1.0,1.0,0.05
fcos_r50_fpn,FCOS R50-FPN,20260909,1,Displaced,0.52,6,0,4,6,0.0,0.0,0.0,0.07982330540746381,0.07216466108149275,1.0,1.0,0.04
fcos_r50_fpn,FCOS R50-FPN,20260909,2,Fractured,0.52,2,0,4,2,0.0,0.0,0.0,0.25,0.225,1.0,1.0,0.04
fcos_r50_fpn,FCOS R50-FPN,20260909,3,Inverted,0.52,4,1,4,3,0.2,0.25,0.22222222222222224,0.3168316831683168,0.29922992299229917,0.75,0.8,0.04
fcos_r50_fpn,FCOS R50-FPN,20260909,4,Missing,0.52,5,4,0,1,1.0,0.8,0.888888888888889,1.0,0.8272277227722771,0.19999999999999996,0.0,0.0
fcos_r50_fpn,FCOS R50-FPN,20260909,5,Normal,0.52,582,580,12,2,0.9797297297297297,0.9965635738831615,0.9880749574105622,0.9966104016931345,0.9667171308721555,0.0034364261168384758,0.020270270270270285,0.12
fcos_r50_fpn,FCOS R50-FPN,20260910,0,Deformed,0.51,3,0,2,3,0.0,0.0,0.0,0.15039082855653982,0.13594233107521275,1.0,1.0,0.02
fcos_r50_fpn,FCOS R50-FPN,20260910,1,Displaced,0.51,6,1,3,5,0.25,0.16666666666666666,0.2,0.15863750554159894,0.13537756760750702,0.8333333333333334,0.75,0.03
fcos_r50_fpn,FCOS R50-FPN,20260910,2,Fractured,0.51,2,0,2,2,0.0,0.0,0.0,0.20874587458745877,0.1920792079207921,1.0,1.0,0.02
fcos_r50_fpn,FCOS R50-FPN,20260910,3,Inverted,0.51,4,0,3,4,0.0,0.0,0.0,0.12081883864062085,0.11146641691196149,1.0,1.0,0.03
fcos_r50_fpn,FCOS R50-FPN,20260910,4,Missing,0.51,5,0,0,5,0.0,0.0,0.0,0.154872840225199,0.1530669992637444,1.0,nan,0.0
fcos_r50_fpn,FCOS R50-FPN,20260910,5,Normal,0.51,582,577,15,5,0.9746621621621622,0.9914089347079038,0.9829642248722317,0.989984838735315,0.9648763159625489,0.00859106529209619,0.02533783783783783,0.15
rtdetr_l,RT-DETR-L,20260908,0,Deformed,0.38,3,3,149,0,0.019736842105263157,1.0,0.03870967741935484,0.0822898831236507,0.08150385649875871,0.0,0.9802631578947368,1.49
rtdetr_l,RT-DETR-L,20260908,1,Displaced,0.38,6,5,142,1,0.034013605442176874,0.8333333333333334,0.06535947712418301,0.06374245956359909,0.055149216532900135,0.16666666666666663,0.9659863945578231,1.42
rtdetr_l,RT-DETR-L,20260908,2,Fractured,0.38,2,0,70,2,0.0,0.0,0.0,0.0198019801980198,0.0198019801980198,1.0,1.0,0.7
rtdetr_l,RT-DETR-L,20260908,3,Inverted,0.38,4,2,70,2,0.027777777777777776,0.5,0.05263157894736842,0.045169659601961974,0.04094522289469107,0.5,0.9722222222222222,0.7
rtdetr_l,RT-DETR-L,20260908,4,Missing,0.38,5,4,65,1,0.057971014492753624,0.8,0.1081081081081081,0.0718872218622028,0.06469849967598251,0.19999999999999996,0.9420289855072463,0.65
rtdetr_l,RT-DETR-L,20260908,5,Normal,0.38,582,519,345,63,0.6006944444444444,0.8917525773195877,0.7178423236514523,0.8793658243401941,0.8120706887695291,0.10824742268041232,0.3993055555555556,3.45
rtdetr_l,RT-DETR-L,20260909,0,Deformed,0.34,3,0,0,3,0.0,0.0,0.0,0.0831683168316832,0.07485148514851489,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260909,1,Displaced,0.34,6,0,0,6,0.0,0.0,0.0,0.15560992786530276,0.1416333701466081,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260909,2,Fractured,0.34,2,0,0,2,0.0,0.0,0.0,0.6287128712871287,0.6287128712871287,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260909,3,Inverted,0.34,4,0,0,4,0.0,0.0,0.0,0.05846088058844218,0.055859005452632414,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260909,4,Missing,0.34,5,4,16,1,0.2,0.8,0.32000000000000006,0.5079507950795077,0.4606300630063004,0.19999999999999996,0.8,0.16
