model,model_label,n_seeds,training_images,external_test_images,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,miss_rate_mean,miss_rate_std,false_discovery_rate_mean,false_discovery_rate_std,fppi_mean,fppi_std,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,ap50_ci95_low,ap50_ci95_high,miss_rate_ci95_low,miss_rate_ci95_high,false_discovery_rate_ci95_low,false_discovery_rate_ci95_high,fppi_ci95_low,fppi_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,0.43472508007320143,0.06302905977938347,0.7009927453226422,0.19249134522901187,0.4966036810078916,0.08425136339724985,0.6588717551820068,0.11702473839347316,0.5847681576553857,0.10726205060533968,0.29900725467735784,0.1924913452290119,0.5037549884881679,0.05673299095670418,0.10666666666666667,0.05634713834792323,0.3961680973618005,0.5125900139991298,0.6584653470030917,0.7449715455780987,0.46409605254460495,0.5478999724647186,0.6281659344975689,0.7312313489801665,0.25502845442190125,0.3415346529969083,0.4134387522620739,0.5478780610879216,0.07596371882086168,0.13726851851851843
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,0.4483381590992223,0.08425188438152517,0.9390511645666285,0.06155803416801801,0.49641048656331055,0.0674391220418043,0.7275129258460726,0.03663369842769195,0.6655381778630528,0.03372491703412008,0.06094883543337152,0.06155803416801799,0.5516618409007777,0.0842518843815252,0.27722222222222226,0.0489992441362714,0.36879304476188024,0.519300501576965,0.8943728230581679,0.9888344771825338,0.43497302262452026,0.5611710629620462,0.6785175268854018,0.7957015893225189,0.01116552281746613,0.10562717694183181,0.47952540988781783,0.6085326655683607,0.22966781214203894,0.32135367091820544
fcos_r50_fpn,FCOS R50-FPN,3,100,100,0.23853979584892773,0.11159100421278412,0.511368843069874,0.4295955372479473,0.23727114096165672,0.09884287579329978,0.3069081899469365,0.1389225318565759,0.28536243760613483,0.12087516964841839,0.48863115693012604,0.42959553724794736,0.7478528467937148,0.10771514214378147,1.7350000000000003,2.9271677627206665,0.2126745550241651,0.29236523303247924,0.47372906780123275,0.5457216820623174,0.20472239810006562,0.26894667144201795,0.29898646452581995,0.3671859554326673,0.4542783179376826,0.5262709321987673,0.6191057586552854,0.7763387491291542,1.719328703703704,1.7510958023986294
rtdetr_l,RT-DETR-L,3,100,100,0.10356955740180611,0.056396903056795775,0.36924398625429555,0.273378610951468,0.13806375391851786,0.06708268161934809,0.2660412696852202,0.11066484314590427,0.24953929810432263,0.10591662037608367,0.6307560137457044,0.2733786109514679,0.7848495808153793,0.19782756924066333,1.4944444444444445,1.0721814903029003,0.10026435331200466,0.10738656057175627,0.3337559659014088,0.4058474007217508,0.13368622273407718,0.14318284050693966,0.251020759975077,0.3338884371129406,0.5941525992782491,0.6662440340985912,0.724758387841814,0.7904382347668005,1.392775871459695,1.5950117313915857
yolo11m,YOLO11m,3,100,100,0.6887028750030129,0.06993760359759893,0.9146620847651775,0.08455740223560011,0.7339280248143062,0.06334235304477354,0.8241801207215511,0.029381096368286227,0.7913030141618876,0.03486904022957072,0.08533791523482244,0.08455740223560015,0.31129712499698714,0.06993760359759889,0.0861111111111111,0.034694433324435545,0.6430537685475616,0.8047702780262318,0.8674324070782476,0.9655968144310113,0.6881719221914707,0.810966886603537,0.7946543969374105,0.8786253797544131,0.03440318556898867,0.1325675929217522,0.19336328463910368,0.3569462314524383,0.0646235598616551,0.1083340209020902
yolov10m,YOLOv10m,3,100,100,0.6380017273182923,0.10715158006333907,0.8724322260404737,0.14334511410566028,0.6692556063901037,0.05629138129164855,0.8099075320483516,0.016148708773188337,0.7877694830167169,0.025725727038849105,0.12756777395952654,0.14334511410566023,0.3619982726817077,0.10715158006333912,0.11222222222222222,0.06840105045760413,0.6012007776477788,0.6676707679101268,0.8227949763663412,0.912042907845616,0.6275515081817662,0.700909253490409,0.8033323026740418,0.8516148523151107,0.08795709215438398,0.17720502363365856,0.2997908713885402,0.38230629881012,0.09146622995632896,0.13256325632563257
